step,time_seconds,total_energy,relative_energy_drift,momentum_x,momentum_y,momentum_z,momentum_drift,center_of_mass_x,center_of_mass_y,center_of_mass_z,center_of_mass_drift
0,0.00000000000000000e+00,-1.97268632471463158e+35,0.00000000000000000e+00,0.00000000000000000e+00,3.18360656733699979e+31,0.00000000000000000e+00,0.00000000000000000e+00,1.50861297265464282e+09,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
24,8.64000000000000000e+04,-1.97268632471463785e+35,3.17936658579946207e-15,-7.38734374912000000e+12,3.18360656733700024e+31,0.00000000000000000e+00,4.50360568616962000e+15,1.50861297265464211e+09,1.38143953791993810e+06,0.00000000000000000e+00,1.38143953791993810e+06
48,1.72800000000000000e+05,-1.97268632471464745e+35,8.04192724643393358e-15,2.88106406215680000e+13,3.18360656733700114e+31,0.00000000000000000e+00,1.35108296002087920e+16,1.50861297265464282e+09,2.76287907583987620e+06,0.00000000000000000e+00,2.76287907583987620e+06
72,2.59200000000000000e+05,-1.97268632471466700e+35,1.79540701315734330e-14,4.40491845877760000e+13,3.18360656733700114e+31,0.00000000000000000e+00,1.35108706885799140e+16,1.50861297265464211e+09,4.14431861375981523e+06,0.00000000000000000e+00,4.14431861375981523e+06
96,3.45600000000000000e+05,-1.97268632471469467e+35,3.19806874218651818e-14,2.24025494159360000e+13,3.18360656733700159e+31,0.00000000000000000e+00,1.80144124392844720e+16,1.50861297265464258e+09,5.52575815167975426e+06,0.00000000000000000e+00,5.52575815167975426e+06
120,4.32000000000000000e+05,-1.97268632471473378e+35,5.18049731921441807e-14,1.77983444746240000e+14,3.18360656733700114e+31,0.00000000000000000e+00,1.35119711566991140e+16,1.50861297265464211e+09,6.90719768959969468e+06,0.00000000000000000e+00,6.90719768959969468e+06
144,5.18400000000000000e+05,-1.97268632471478211e+35,7.63047980591870927e-14,1.20740120625152000e+14,3.18360656733700114e+31,0.00000000000000000e+00,1.35113383722558600e+16,1.50861297265464211e+09,8.28863722751963045e+06,0.00000000000000000e+00,8.28863722751963045e+06
168,6.04800000000000000e+05,-1.97268632471483671e+35,1.03983989512029466e-13,3.04496001417216000e+14,3.18360656733700024e+31,0.00000000000000000e+00,4.51388163541433000e+15,1.50861297265464211e+09,9.67007676543956622e+06,0.00000000000000000e+00,9.67007676543956622e+06
192,6.91200000000000000e+05,-1.97268632471490349e+35,1.37834892572600211e-13,5.66660805165056000e+14,3.18360656733699979e+31,0.00000000000000000e+00,5.66660805165056000e+14,1.50861297265464091e+09,1.10515163033595067e+07,0.00000000000000000e+00,1.10515163033595067e+07
216,7.77600000000000000e+05,-1.97268632471497727e+35,1.75239205346711541e-13,5.14502722322432000e+14,3.18360656733700024e+31,0.00000000000000000e+00,4.53289340873231500e+15,1.50861297265464091e+09,1.24329558412794452e+07,0.00000000000000000e+00,1.24329558412794452e+07
